Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,review,Rating
11,"Cancun, Mexico",04-01-2024,04-08-2024,7,Ana Hernandez,27,Female,Mexican,Hotel,1000,Flight,500,"Vintage Place Of Lord Buddha
Famous For it's Religious and culture because it's symbol of nature and peace
Above The height of Kathmandu â€¦",2
12,"Barcelona, Spain",5/15/2024,5/22/2024,7,Carlos Garcia,36,Male,Spanish,Airbnb,800,Train,100,"Swayambhu, meaning self-sprung, is one of the most sacred and iconic religious places in Nepal. The religious complex is situated on top of a hill. As you begin your climb you will come across various shops and cafes. You will also be â€¦",4
13,"Honolulu, Hawaii",06-10-2024,6/18/2024,8,Lily Wong,29,Female,Chinese,Resort,3000,Flight,1200,Surreal experience. Remember to put your sunscreen on and maybe put on a sun hat. Temple up the mountain with stairs and thereâ€™s another road where you can take a Uber if you donâ€™t want to take the long stairs.,4
14,"Berlin, Germany",07-01-2024,07-10-2024,9,Hans Mueller,48,Male,German,Hotel,1400,Flight,700,The oldest religious site in Kathmandu. Worth a visit. Great view overlocking Kathmandu. Beware of the monkeys and need to take Lots of stairs. 200 rupees for foreigners,3
15,"Marrakech, Morocco",8/20/2024,8/27/2024,7,Fatima Khouri,26,Female,Moroccan,Riad,600,Flight,400,"All you get from visiting this place is the sense of Spirituality and Peace.
Do visit this World Heritage of Nepal, you won't regret!",4
16,"Edinburgh, Scotland",09-05-2024,09-12-2024,7,James MacKenzie,32,Male,Scottish,Hotel,900,Train,150,"This temple is also known as the Monkey Temple.
There are a lot of monkeys in the temple and along the stairway to the temple. â€¦",1
17,Paris,09-01-2023,09-10-2023,9,Sarah Johnson,30,Female,American,Hotel,900,Plane,400,"The monkey temple is a good tourist spot. You get to see a great temple, lots of monkeys, and a nice view of Kathmandu. Lot of stairs to get up so be prepared.",2
18,Bali,8/15/2023,8/25/2023,10,Michael Chang,28,Male,Chinese,Resort,"1,500",Plane,700,"One of the best places to visit in kathmandu, Nepal.
Reach to the top of the mountain and you can enjoy the market there and also the mountain view from there. Ticket Price 50 INR for Indian",5
19,London,7/22/2023,7/28/2023,6,Olivia Rodriguez,35,Female,British,Hotel,"1,200",Train,150,"Swayambhunath is a glorious ancient religious architecture, located in the middle of Kathmandu city. It is center of faith of both Buddhist and Hindus.
It was listed in the UNESCO World Heritage Monument List in 1979 .Great place to â€¦",5
20,Tokyo,10-05-2023,10/15/2023,10,Kenji Nakamura,45,Male,Japanese,Hotel,"1,200",Plane,800,It's beautiful temple located at the hilltop from where you could have a 360 degree view of Kathmandu city. Visit Stupa and temple.,3
21,New York,11/20/2023,11/25/2023,5,Emily Lee,27,Female,American,Airbnb,600,Bus,100,Swayambhunath is also known as Shiva( god Mahadev). It is historical place in Nepal.  And also tourist area. Where Tourist come to visit and they enjoyed it and also known about historical story. Hope you also come to visit and enjoy more and knows about historical story. â˜ºâ˜º,5
22,Sydney,12-05-2023,12-12-2023,7,James Wilson,32,Male,Australian,Hotel,"1,000",Plane,600,Swayambhunath is also known as Shiva( god Mahadev). It is historical place in Nepal. And also tourist area. Where Tourist come to visit and they enjoyed it and also known about historical story. Hope you also come to visit and enjoy more and knows about historical story.,5
23,Rome,11-01-2023,11-08-2023,7,Sofia Russo,29,Female,Italian,Airbnb,700,Train,80,Swayambunath also known as the monkey temple is situated at an elevation. It offers a bird's eye view of the valley below. A very peaceful place to visit.,4
24,Bangkok,9/15/2023,9/23/2023,8,Raj Patel,40,Male,Indian,Hostel,400,Plane,500,Swayanbhu Mahachaitya is an important landmark in Kathmandu.  It's about 15 minutes from Durbar Square. It sits on top a big mountain and from here you can see the whole Kathmandu valley and take amazing pictures. â€¦,5
25,Paris,12/22/2023,12/28/2023,6,Lily Nguyen,24,Female,Vietnamese,Hotel,"1,400",Train,100,A sacred and holy place of worship for Hindus and Buddhists. One can view the city of Kathmandu from its premises. A very good place to buy traditional arts and crafts. Oil paintings depicting the popular culture and heritage of Nepal as well as mountain ranges are sold here.,2
26,Hawaii,08-01-2023,08-10-2023,9,David Kim,34,Male,Korean,Resort,"2,000",Plane,800,"It's a most to visit tourism sites in kathmandu.  Monkey temple, where you can see alot of Monkeys playing around.
It's been made in the 5th century.",3
27,Barcelona,10/20/2023,10/28/2023,8,Maria Garcia,31,Female,Spanish,Hotel,"1,100",Train,150,Extraordinary ambition with Vibe of Bhuda filled with. Also called as 'Monkey Temple' and you can either reach the top of the small peak by vehicle or climb on the steps. Must go place in Kathmandu.,4
28,Japan,05-10-2022,5/18/2022,8,Alice Smith,30,Female,American,Hotel,800,Plane,500,"A beautiful place to spend your day at.

Monkey temple, full of monkeys. â€¦",3
29,Thailand,6/15/2022,6/22/2022,7,Bob Johnson,45,Male,Canadian,Hostel,200,Train,150,Must visit for locals and tourists. Recommend going early in the morning and walking the steps all the way up. Hot spot for many working out. Small vendors selling wheat-grass and aloe juice. I arrived at 6am and it was already bustling.,4
30,France,07-02-2022,07-11-2022,9,Charlie Lee,25,Male,Korean,Airbnb,600,Car rental,300,I had been into this place for an official cause. This was not my first visit but each time I visit this place amazes me with the peacefulness and devotion of the visitors. What more? The wide angle view of the Kathmandu ðŸ‡³ðŸ‡µ valley is â€¦,4
31,Australia,8/20/2022,09-02-2022,13,Emma Davis,28,Female,British,Hotel,"1,000",Car rental,500,"Be ready to climb 300 steps to reach this location.
Commonly called Monkey Temple, you will quickly understand why. There are macaques everywhere but they arenâ€™t agressive unless you provoke them with food. â€¦",4
32,Brazil,09-05-2022,9/14/2022,9,Olivia Martin,33,Female,Australian,Hostel,150,Bus,50,This place has been in my wishlist from a long time. I have been reading a lot about Swayambu  and its architecture. Absolutely loved the place and the fact that the surroundings are carved detailed. there is greenery all around for miles â€¦,4
33,Greece,10-12-2022,10/20/2022,8,Harry Wilson,20,Male,American,Airbnb,400,Plane,600,"Amazing experience. A stupa of Fantastic architecture on the top of hillock, Great historical place to visit. Lies in the heart of the Kathmandu city. Easy access. Enjoyable view of kathmandu valley.",1
34,Egypt,11-08-2022,11/15/2022,7,Sophia Lee,37,Female,Canadian,Hotel,700,Train,100,"Only WoW,
â€¢ Great View can see Whole city from up there.
â€¢ Beauty of Nature â€¦",2
35,Mexico,01-05-2023,1/15/2023,10,James Brown,42,Male,British,Airbnb,500,Plane,800,"I would rate this place as okay .

Let's start by the positives: â€¦",4
36,Italy,2/14/2023,2/20/2023,6,Mia Johnson,31,Female,American,Hostel,180,Train,120,"Hereâ€™s something for the non-religious folk, you can still have a good time just walking around. Itâ€™s beautiful, itâ€™s peaceful and itâ€™s serene. Take a visit and you wonâ€™t be disappointed. â€¦",4
37,Spain,3/23/2023,3/31/2023,8,William Davis,27,Male,Korean,Hotel,900,Car rental,400,"Popularly known as monkey temple.

Swayambhu is an ancient religious complex atop a hill in the Kathmandu Valley, â€¦",4
38,Canada,4/19/2023,4/26/2023,7,Amelia Brown,38,Female,Australian,Airbnb,350,Bus,75,"It is an ancient, religious architecture located behind the Swoyambhu Bhagwan Pau which is 350m behind from it. It is also known as the name of ""Monkey Temple"" which is an attractive place for tourists. â€¦",5
39,"Paris, France",06-12-2022,6/19/2022,7,Mia Johnson,25,Female,American,Hotel,1400,Plane,600,Located at swayambhu chowk. It's also a temple of monkey. From here we can get beautiful view of Kathmandu city.,4
40,"Sydney, Australia",01-02-2023,01-09-2023,7,Adam Lee,33,Male,Canadian,Airbnb,800,Train,150,A place on the height. You can have stairs or book a car to visit directly on top. Loved to throw the coin for wishes. In the open area of temple you can watch the beautiful valley - Kathmandu. You can buy some memorable items from the side of stairs. They provide items in a reasonable rate.,4
41,"Tokyo, Japan",12-10-2022,12/18/2022,8,Sarah Wong,28,Female,Chinese,Hostel,500,Plane,900,"Resting on a hillock 3 km west of Kathmandu, SwayambhuÂ is one of the holiest Buddhist stupasÂ in Nepal. ItÂ is said to have evolved spontaneously when the valley was created out of a primordial lake more than 2,000 years ago. This stupa is the oldest of its kind in Nepal and has numerous shrines and monasteries on its premises.",1
42,"Cancun, Mexico",07-01-2023,07-08-2023,7,John Smith,45,Male,American,Resort,2200,Plane,800,From main road you can walk for the entrance which is approx 15-20 min walk. During this walk view is very nice but be careful from monkey. To visit the stupa you have to climb up to 100 steps. View from top is lovely. It's a world heritage site. Must visit place in Kathmandu.,4
43,"Rio de Janeiro, Brazil",11/20/2022,11/27/2022,7,Maria Silva,30,Female,Brazilian,Hotel,1200,Plane,700,"Swayambhu (Devanagari: à¤¸à¥à¤µà¤¯à¤®à¥à¤­à¥‚ à¤¸à¥à¤¤à¥‚à¤ª; Nepal Bhasa: à¤¸à¥à¤µà¤¯à¤‚à¤­à¥‚; sometimes Swayambu or Swoyambhu) is an ancient religious architecture atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means â€˜Sublime â€¦",2
44,"London, UK",03-05-2023,03-12-2023,7,Peter Brown,55,Male,British,Airbnb,900,Train,100,"It is the most sacred amoung Buddhist pilgrimage sites.Its extremely amazing and beautiful from both religious and aesthetic point of view.
Must visit once !",4
45,"Barcelona, Spain",8/18/2023,8/25/2023,7,Emma Garcia,27,Female,Spanish,Hostel,600,Plane,600,It is a peaceful place to be. You will get to see alot of your monkey friends there. You can see a beautiful view - view of concrete Jungle from the top. Couple of good food places in the perimeter as well. If you're stressed out i recommend you to visit swayambhu.,2
46,"New York City, USA",9/15/2022,9/22/2022,7,Michael Davis,41,Male,American,Hotel,1500,Plane,500,Best place to Enjoy Beautiful Art stunning view. You can feel the Spiritual Energy flowing everywhere. â€¦,2
47,"Bangkok, Thailand",05-01-2023,05-07-2023,6,Nina Patel,29,Female,Indian,Airbnb,500,Bus,50,"My friend and I decided to stay for one night but ended up staying for Four nites here. Place was very clean and staff were warm,extremely helpful,simple ,friendly.Rishi,the owner was very helpful with his maps ,guides n his hot cinnamon â€¦",3
48,"Vancouver, Canada",07-10-2022,7/17/2022,7,Kevin Kim,24,Male,Korean,Hostel,400,Train,150,"This #stupa is the oldest of its kind in Nepal and has numerous shrines and monasteries on its premises. #Swayambhu literally means ""self-existent one"". Believed to date back to 460 A.D., it was built by King Manadeva and by the 13th â€¦",3
49,"Amsterdam, Netherlands",6/20/2023,6/28/2023,8,Laura van den Berg,31,Female,Dutch,Hotel,1100,Plane,700,"Religious place  ðŸ™ðŸ™
Awesome view of Kathmandu valley ðŸ‘ŒðŸ‘Œ
Best place to visit to see our historical temlple â€¦",5
50,"Paris, France",8/15/2023,8/22/2023,7,Jennifer Nguyen,31,Female,Canadian,Hotel,"1,200",Train,300,"Perched on top of the Semgu Hill located in the outskirts to the west of the Kathmandu Valley, Swayambhu Temple temple is one of the most important eligious shrines in the city of Kathmandu.",5
51,"Tokyo, Japan",10-10-2023,10/20/2023,10,David Kim,25,Male,American,Hostel,500,Bus,100,Beautiful experience. Amazing stupa a top a hillock. You can get an amazing view of the city.,5
52,"Sydney, AUS",11-05-2023,11-12-2023,7,Rachel Lee,27,Female,South Korean,Airbnb,900,Car rental,200,Ancient temple famous for its artifacts and history. Monkeys are roaming everywhere and one has to be careful with your belongings especially food stuff. They just grab at lightning speed. He just stole my Cornetto ice cream.,4
53,"New York, USA",12/24/2023,12/31/2023,7,Jessica Wong,28,Female,Canadian,Hotel,"1,400",Flight,800,Amazing and mesmerising. Just not enough words to express its beauty. One of the best part visiting this place is that you got a good view of Kathmandu valley.,5
54,"Rio de Janeiro, Brazil",1/15/2024,1/24/2024,9,Felipe Almeida,30,Male,Brazilian,Airbnb,800,Train,150,"SwayambhuÂ (Devanagari: à¤¸à¥à¤µà¤¯à¤®à¥à¤­à¥‚ à¤¸à¥à¤¤à¥‚à¤ª;Â Newar:Â à¤¸à¥à¤µà¤¯à¤‚à¤­à¥‚; sometimesÂ SwayambuÂ orÂ Swoyambhu) is an ancient religious complex atop a hill in theÂ Kathmandu Valley, west ofÂ KathmanduÂ city. The Tibetan name for the site means 'Sublime Trees' â€¦",5
55,"Bangkok, Thailand",02-01-2024,02-09-2024,8,Nisa Patel,23,Female,Indian,Hostel,400,Bus,50,"Swayambhu is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees', for the many varieties of trees found on the hill. However, Shing.kun may be of the local Nepal Bhasa name for the complex, Swayambhu, meaning 'self-sprung'.",3
56,"London, UK",3/15/2024,3/23/2024,8,Ben Smith,35,Male,British,Hotel,"1,000",Train,200,I often visit here just for morning walk and every day I feel the same energy and peace in my mind and soul while climbing those stairs. One of the holiest place of Buddhists and also for Hindus. There is iconic stupa and many other small â€¦,5
57,"Barcelona, Spain",04-05-2024,4/13/2024,8,Laura Gomez,29,Female,Spanish,Airbnb,700,Car rental,250,"The Swayambhunath Stupa, an icon of Nepal, is an ancient religious structure on a hilltop in the Kathmandu Valley.Â  It stands about 3 kilometers west of Kathmandu City and is a must-see for anyone thinking of going to Nepal.Â  This has to be â€¦",3
58,"Seoul, South Korea",05-10-2024,5/18/2024,8,Park Min Woo,27,Male,South Korean,Hostel,500,Subway,20,Wonderful walk if you start from the pilgrim path on the left of the 365 steps. Takes you all around and up from the back. You can then go down on steps and towards monkey temple ðŸ’,5
59,"Los Angeles, USA",6/20/2024,6/27/2024,7,Michael Chen,26,Male,Chinese,Hotel,"1,200",Car rental,300,"What more can we say about this spiritual grandeur! Stupa! à¤¸à¥à¤µà¤¯à¤‚-à¤­à¥‚-à¤¨à¤¾à¤¥, The name speaks itself. The place where you can experience your inner divinity.",5
60,"Rome, Italy",7/15/2024,7/23/2024,8,Sofia Rossi,33,Female,Italian,Airbnb,800,Train,100,Temple of the monkeys is so famous and a must visit for all tourists as we can get a beautiful view of Kathmandu Valley. But so sorry to say that the place is so dirty with trash thrown everywhere. The local government must immediately do â€¦,5
61,Paris,07-12-2022,7/18/2022,6,Rachel Sanders,35,Female,American,Hotel,1200,Plane,800,"Great historical place to visit. Lies in the heart of the Kathmandu city. Easy access.
Enjoyable view of kathmandu valley. But regular cleaning of the area must be focused.",4
62,Tokyo,09-03-2022,09-10-2022,7,Kenji Nakamura,28,Male,Japanese,Hostel,400,Train,300,"One of the best Buddhist place in the world, not only for Buddhist it's for all the people who love art  , architecture, history, culture, traditions and many more...........",5
63,Cape Town,01-07-2023,1/16/2023,9,Emily Watson,29,Female,British,Vacation rental,800,Car rental,200,"One of the bust place i visited in Kathmandu before living Kathmandu and aslo enjoy the vibe of peace lovely place, The Swayambhu Mahachaitya was gold plated (20 kg gold) in 2011. The hill suggests fabulous views of Kathmandu valley, â€¦",5
64,Sydney,6/23/2023,6/29/2023,6,David Lee,43,Male,Australian,Hotel,1500,Plane,1200,"Peace Place and Great View point â¤ðŸ™ðŸ»
Kathmandu valley  seen from there easily ðŸ¥°",5
65,Barcelona,8/18/2023,8/25/2023,7,Ana Rodriguez,31,Female,Spanish,Vacation rental,900,Plane,700,"Swayambhu (Devanagari: à¤¸à¥à¤µà¤¯à¤®à¥à¤­à¥‚ à¤¸à¥à¤¤à¥‚à¤ª; Newar: à¤¸à¥à¤µà¤¯à¤‚à¤­à¥‚; sometimes Swayambu or Swoyambhu) is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees' (Wylie: â€¦",4
66,Bali,02-01-2024,02-08-2024,7,Tom Wilson,27,Male,American,Resort,2200,Plane,1000,The architecture is beautiful and you can cover the whole place wothin half an hour. Beware of the pickpocketing monkeys though.,1
67,Paris,05-06-2024,05-12-2024,6,Olivia Green,39,Female,French,Hotel,1100,Train,200,"A stupa of Fantastic architecture, known for huge presennce of monkey, a view point to enjoy the beautiful Kathmandu valley, you will never get tired of visiting again and again. Perfect location inside valley for a day out.. or to spend some time ..",5
68,New York,7/20/2024,7/26/2024,6,James Chen,25,Male,American,Vacation rental,1000,Plane,800,It is wonderful and great palace.it is very old temple and very famous in nepal.many of the people of various countries come for visit this place,3
69,Bangkok,09-08-2024,9/16/2024,8,Lila Patel,33,Female,Indian,Hostel,300,Plane,700,Very nice place for the people who are visiting Nepal Kathmandu. It's an iconic place to visit.,3
70,Rome,2/14/2025,2/20/2025,6,Marco Rossi,41,Male,Italian,Hotel,1300,Train,100,"One of the iconic places in Kathmandu or informally named as the Monkey Temple, a fun exciting day out with great views from the top. It's not free you have to pay currently 400 NRP..",1
71,Bali,5/21/2025,5/29/2025,8,Sarah Brown,37,Female,British,Resort,1800,Plane,1000,Almost 3000 stairs need to be crossed I order to reach the Swyambunath temple. Swyambunath temple is the name that the local use but it is known as Money temple to many tourist and foreigners. The locals doesnâ€™t have any idea about monkey â€¦,4
72,,,,,,,,,,,,,"Wow, amazing place, always something different happening there.
Lots and lots of monkeys and lots of very steep steps.
Magical place",2
73,"Bali, Indonesia",08-05-2022,08-12-2022,7,Sarah Lee,35,Female,South Korean,Resort,500,Plane,800,"The Swayambhunath Stupa is one of the delegated wonders of Kathmandu Valley engineering. This impeccably proportioned landmark ascends  through a whitewashed vault to an overlaid tower, from where four famous countenances of the Buddha gaze â€¦",5
74,"Tokyo, Japan",01-01-2023,01-09-2023,8,Alex Kim,29,Male,American,Hotel,1000,Train,200,"One of the best places to be around.
The place is peaceful, enthusiastic and so much more.
The air also feels nice. The view is amazing but since Kathmandu is polluted a â€¦",5
75,"Cancun, Mexico",4/15/2023,4/22/2023,7,Maria Hernandez,42,Female,Mexican,Resort,800,Plane,500,"The Great Chaitya of Bodhnath
Also called: Bauddha, Byarung Kashor, Khasa, Khasti, Khasau or Kashyapa Chaitya. â€¦",4
76,"Paris, France",06-07-2023,6/14/2023,7,John Smith,46,Male,British,Hotel,1200,Plane,700,"An extremely amazing place to be at presenting an amazing picturesque scenerio of the city, extremely beautiful pieces of art, and a different sorts of freshness. Fully enjoyed being here!! â¤ï¸",5
77,"Cape Town, SA",09-01-2023,09-10-2023,9,Mark Johnson,31,Male,South African,Guesthouse,400,Car,300,"The history of this beautiful temple is dated back to 5th century making it one of the oldest temple in Kathmandu. It was founded by King Manadava. Also,  it is said that the great Ashoka came to this place in 3rd century and built a temple â€¦",1
78,"Bali, Indonesia",11-12-2023,11/19/2023,7,Amanda Chen,25,Female,Taiwanese,Resort,600,Plane,700,We enjoyed this temple of Goddess Buddha here very much. But the maintenance of this place is not so good.,1
79,"Sydney, Aus",02-05-2024,02-12-2024,7,David Lee,38,Male,Australian,Hotel,900,Plane,600,Best place to see the city for locals and tourists. Early morning or evening can be preferable,4
80,"Bangkok, Thai",5/15/2024,5/22/2024,7,Nana Kwon,27,Female,Korean,Hotel,400,Plane,400,"let me visit next time and if i can remove the review and the pictures.
Hello UNESCO where are u ? u know my fellow Nepalese how good they are at earning money. Please do something. they are turining this into garbage hill. Please save it",2
81,"New York, USA",8/20/2024,8/27/2024,7,Tom Hanks,60,Male,American,Hotel,1500,Plane,1000,Absolutely nice place to visit with many monkeys (that like to steal your lemonade) and a gorgeous view of the city,2
82,"Phuket, Thai",01-01-2025,01-08-2025,7,Emma Watson,32,Female,British,Resort,700,Plane,800,A whole day can be spent wisely in this place also called as monkey temple.,5
83,"Rome, Italy",4/15/2025,4/22/2025,7,James Kim,41,Male,American,Hotel,100,,,The Buddhist temple called monkey temple too. It's a too good place for mind relaxing.,5
84,Paris,6/15/2021,6/20/2021,6,John Smith,35,Male,American,Hotel,800,Plane,500,You can get a nice and beautiful view of the city. Stupas and temple are beautiful and worth it to visit.,2
85,Tokyo,07-01-2021,07-10-2021,10,Sarah Lee,28,Female,Korean,Airbnb,500,Train,300,"Like a different world it feels, always heard about Kathmandu in stories since childhood and seeing it in reality was magical.",4
86,Bali,08-10-2021,8/20/2021,11,Maria Garcia,42,Female,Spanish,Resort,1200,Plane,700,"ðŸ’œâ¤ï¸â£ï¸ðŸ˜˜ loving place
Find peace and prayers on the little hillock of Swaymbhunath in the northwest of Kathmandu Valley. Visitors for whom the name was a tongue twister have called â€¦",4
87,Sydney,09-01-2021,09-10-2021,9,David Lee,45,Male,Australian,Hotel,900,Plane,600,Aptly named the monkey temple! Plenty of those little critters around. Awesome Stupa!,5
88,New York,10/15/2021,10/20/2021,6,Emily Davis,31,Female,American,Airbnb,700,Car rental,200,"Visited quite few years ago, and it's very good place although and should visit there if you are in kathmandu",4
89,London,11/20/2021,11/30/2021,11,James Wilson,29,Male,British,Hostel,300,Plane,400,"Swayambhunath is on a top of a hill which overlooks Kathmandu valley.

There is an entrance fee of NRP 50 for SAARC countries and NPR 200 for outside â€¦",1
90,Dubai,01-01-2022,01-08-2022,8,Fatima Ahmed,24,Female,Emirati,Hotel,1000,Plane,800,"Hindu religious temple. It is situated at the top of a mountain. You can see entire Kathmandu here. Monkeys are adorable. Must visit once in your life.
Really love this best place. â€¦",4
91,Bangkok,2/14/2022,2/20/2022,7,Liam Nguyen,26,Male,Vietnamese,Airbnb,400,Train,100,"sometimes Swayambu or Swoyambhu) is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees  for the many varieties of trees found on the hill. However, â€¦",4
92,Rome,03-10-2022,3/20/2022,11,Giulia Rossi,30,Female,Italian,Hostel,200,Plane,350,"Good place to visit, this place is at height and there stairs to go up, if you are going there with Kids then better to use side ways to go up (slopy way) as stairs are quite risky for children. â€¦",5
93,Bali,4/15/2022,4/25/2022,11,Putra Wijaya,33,Male,Indonesian,Villa,1500,Car rental,300,Swambhunath Stupa is regarded as one the Buddhist shrines whic is equally worshipped by Hindus as well. It is situated at the western side of the main Kathmandu valley. Often known as monkey temple the mythology says that the lotus on the â€¦,1
94,Seoul,05-01-2022,05-10-2022,10,Kim Min-ji,27,Female,Korean,Hotel,800,Train,150,"A golden spire crowning a conical wooded hill, Swayambhunath Stupa is the most ancient and enigmatic of all the holy shrines in Kathmandu valley. Its lofty white dome and glittering golden spire are visible for many miles and from all sides â€¦",4
95,Paris,6/15/2022,6/20/2022,5,John Smith,35,Male,USA,Hotel,500,Plane,800,"Best place to chill, hangout, watch the view of Kathmandu Valley and worship.",4
96,Tokyo,09-01-2022,09-10-2022,9,Emily Johnson,28,Female,Canada,Airbnb,400,Train,200,"It is one of the hindu temple which is located in Kathmandu, Nepal. It was so peaceful place. Actually we see valley clearly from the top of the temple. Lots of ðŸ’ are jumping there and they act like silly through which the people are getting entertain.",4
97,Sydney,11/23/2022,12-02-2022,9,David Lee,45,Male,South Korea,Hostel,200,Plane,"1,200",Itâ€™s a must visit temple in Kathmandu nepal,4
98,London,2/14/2023,2/19/2023,5,Sarah Brown,37,Female,UK,Hotel,600,Plane,700,Swayambhu temple is also knwn as monkey temple there u can see lots n lots of monkeys lofty white dome and glittering golden spire are visible for many miles. From stupa yu all can see kathamandu city and its also known as World Heritage site. If u visit nepal don't forget to visit this place,1
99,New York,05-08-2023,5/14/2023,6,Michael Wong,50,Male,China,Airbnb,800,Car rental,300,2nd I come visit in Sawayumphu with my friend for a prayer so very good place when you come to Nepal ..pls bit Sawayumphu,3
100,Rome,8/20/2023,8/27/2023,7,Jessica Chen,31,Female,Taiwan,Hotel,700,Plane,900,"Swayambhunath Stupa is also know as Monkey Temple because there is a lot of monkey. This stupa is at mountain , There is stairs to reach at temple.
Literally, you can see the view of Kathmandu.",1
101,Bangkok,11-12-2023,11/20/2023,8,Ken Tanaka,42,Male,Japan,Hostel,300,Train,100,Swayambhunath Stupa also known as Kathmanduâ€™s Monkey Temple.,3
102,Cape Town,01-06-2024,1/14/2024,8,Maria Garcia,27,Female,Spain,Airbnb,500,Plane,"1,500","A Huge divine complex , important centre in Buddhism.Word swayambhunath literally mean self existent one,which is a name of lord Shiva , it was believed to back date to 460 CE. Wisdom seeker can visit here.View of kathmandu city ,from here is breathe taking .",1
103,Rio de Janeiro,04-03-2024,04-10-2024,7,Rodrigo Oliveira,33,Male,Brazil,Hotel,900,Car rental,400,"Beautiful, historic, vintage point, religious, scenic.....just go and see.",5
104,Bali,7/22/2024,7/28/2024,6,Olivia Kim,29,Female,South Korea,Villa,"1,200",Plane,"1,000",It was a bit overwhelming for me and despite going against my better judgement a â€˜guideâ€™ there tried to scam me. So many people were calling at you to buy things and there were lots of beggars. I am also scared of monkeys ðŸ™ˆ I understand â€¦,3
105,Amsterdam,10-10-2024,10/17/2024,7,Robert Mueller,41,Male,Germany,Hotel,600,Train,150,"Always a refreshing experience , hope they restructure some of the buildings that take away from the heritage and significance of the site.",3
106,Paris,5/15/2022,5/20/2022,5,John Smith,35,Male,USA,Hotel,1000,Plane,800,"Hindu and Buddhist temple at single station.
We can see clear view of kathmandu valley from here.",4
107,Tokyo,09-01-2022,09-10-2022,9,Sarah Lee,28,Female,South Korea,Airbnb,800,Train,500,View of Kathmandu from here is worth climbing 1000 stairs. Try to visit this place in early sunset hours.,4
108,New York,6/20/2022,6/25/2022,5,Michael Wong,42,Male,Hong Kong,Hotel,1200,Car rental,200,Buddhist holy place . The most people love this place to hang out and view Kathmandu panorama view 200 degree,5
